seed,mode,turns,winner,seat
621,selfplay,300,AI 2,0
622,selfplay,300,AI 4,1
623,selfplay,300,AI 4,0
624,selfplay,300,AI 4,3
625,selfplay,300,AI 1,3
626,selfplay,300,AI 3,0
627,selfplay,300,AI 3,3
628,selfplay,300,AI 2,1
629,selfplay,300,AI 2,0
630,selfplay,300,AI 4,1
631,selfplay,300,AI 1,1
632,selfplay,300,AI 2,1
633,selfplay,300,AI 3,1
634,selfplay,300,AI 2,3
635,selfplay,300,AI 1,1
636,selfplay,300,AI 4,3
637,selfplay,300,AI 3,1
638,selfplay,300,AI 3,0
639,selfplay,300,AI 2,2
640,selfplay,300,AI 3,2
641,selfplay,300,AI 2,0
642,selfplay,300,AI 2,3
643,selfplay,300,AI 1,1
644,selfplay,300,AI 1,0
645,selfplay,300,AI 4,2
646,selfplay,300,AI 2,3
647,selfplay,300,AI 1,1
648,selfplay,300,AI 2,1
649,selfplay,300,AI 3,1
650,selfplay,300,AI 2,3
651,selfplay,300,AI 2,2
652,selfplay,300,AI 3,2
653,selfplay,300,AI 3,1
654,selfplay,300,AI 1,2
655,selfplay,300,AI 1,1
656,selfplay,300,AI 1,0
657,selfplay,300,AI 3,1
658,selfplay,300,AI 3,0
659,selfplay,300,AI 1,1
660,selfplay,300,AI 3,2
661,selfplay,300,AI 2,0
662,selfplay,300,AI 3,0
663,selfplay,300,AI 1,1
664,selfplay,300,AI 2,1
665,selfplay,300,AI 3,1
666,selfplay,300,AI 4,1
667,selfplay,300,AI 4,0
668,selfplay,300,AI 2,1
669,selfplay,300,AI 2,0
670,selfplay,300,AI 4,1
671,selfplay,300,AI 4,0
672,selfplay,300,AI 1,0
673,selfplay,300,AI 2,0
674,selfplay,300,AI 1,2
675,selfplay,300,AI 4,0
676,selfplay,300,AI 1,0
677,selfplay,300,AI 2,0
678,selfplay,300,AI 2,3
679,selfplay,300,AI 2,2
680,selfplay,300,AI 1,0
681,selfplay,300,AI 4,2
682,selfplay,300,AI 2,3
683,selfplay,300,AI 4,0
684,selfplay,300,AI 1,0
685,selfplay,300,AI 4,2
686,selfplay,300,AI 4,1
687,selfplay,300,AI 1,1
688,selfplay,300,AI 3,2
689,selfplay,300,AI 3,1
690,selfplay,300,AI 2,3
691,selfplay,300,AI 1,1
692,selfplay,300,AI 4,3
693,selfplay,300,AI 2,0
694,selfplay,300,AI 2,3
695,selfplay,300,AI 1,1
696,selfplay,300,AI 2,1
697,selfplay,300,AI 3,1
698,selfplay,300,AI 1,2
699,selfplay,300,AI 2,2
700,selfplay,300,AI 3,2
701,selfplay,300,AI 2,0
702,selfplay,300,AI 3,0
703,selfplay,300,AI 1,1
704,selfplay,300,AI 3,2
705,selfplay,300,AI 3,1
706,selfplay,300,AI 4,1
707,selfplay,300,AI 1,1
708,selfplay,300,AI 2,1
709,selfplay,300,AI 3,1
710,selfplay,300,AI 3,0
711,selfplay,300,AI 1,1
712,selfplay,300,AI 2,1
713,selfplay,300,AI 3,1
714,selfplay,300,AI 3,0
715,selfplay,300,AI 2,2
716,selfplay,300,AI 1,0
717,selfplay,300,AI 2,0
718,selfplay,300,AI 3,0
719,selfplay,300,AI 2,2
720,selfplay,300,AI 3,2
721,selfplay,300,AI 3,1
722,selfplay,300,AI 3,0
723,selfplay,300,AI 4,0
724,selfplay,300,AI 1,0
725,selfplay,300,AI 1,3
726,selfplay,300,AI 1,2
727,selfplay,300,AI 3,3
728,selfplay,300,AI 4,3
729,selfplay,300,AI 2,0
730,selfplay,300,AI 3,0
731,selfplay,300,AI 2,2
732,selfplay,300,AI 4,3
733,selfplay,300,AI 3,1
734,selfplay,300,AI 1,2
735,selfplay,300,AI 1,1
