seed,mode,turns,winner,seat
501,selfplay,300,AI 3,1
502,selfplay,300,AI 3,0
503,selfplay,300,AI 3,3
504,selfplay,300,AI 3,2
505,selfplay,300,AI 4,2
506,selfplay,300,AI 3,0
507,selfplay,300,AI 3,3
508,selfplay,300,AI 2,1
509,selfplay,300,AI 4,2
510,selfplay,300,AI 4,1
511,selfplay,300,AI 2,2
512,selfplay,300,AI 3,2
513,selfplay,300,AI 3,1
514,selfplay,300,AI 1,2
515,selfplay,300,AI 2,2
516,selfplay,300,AI 2,1
517,selfplay,300,AI 1,3
518,selfplay,300,AI 4,1
519,selfplay,300,AI 3,3
520,selfplay,300,AI 2,1
521,selfplay,300,AI 2,0
522,selfplay,300,AI 2,3
523,selfplay,300,AI 3,3
524,selfplay,300,AI 1,0
525,selfplay,300,AI 4,2
526,selfplay,300,AI 1,2
527,selfplay,300,AI 3,3
528,selfplay,300,AI 3,2
529,selfplay,300,AI 4,2
530,selfplay,300,AI 3,0
531,selfplay,300,AI 4,0
532,selfplay,300,AI 1,0
533,selfplay,300,AI 1,3
534,selfplay,300,AI 1,2
535,selfplay,300,AI 2,2
536,selfplay,300,AI 1,0
537,selfplay,300,AI 1,3
538,selfplay,300,AI 3,0
539,selfplay,300,AI 2,2
540,selfplay,300,AI 4,3
541,selfplay,300,AI 4,2
542,selfplay,300,AI 4,1
543,selfplay,300,AI 4,0
544,selfplay,300,AI 3,2
545,selfplay,300,AI 4,2
546,selfplay,300,AI 3,0
547,selfplay,300,AI 1,1
548,selfplay,300,AI 3,2
549,selfplay,300,AI 3,1
550,selfplay,300,AI 2,3
551,selfplay,300,AI 3,3
552,selfplay,300,AI 2,1
553,selfplay,300,AI 2,0
554,selfplay,300,AI 4,1
555,selfplay,300,AI 4,0
556,selfplay,300,AI 3,2
557,selfplay,300,AI 4,2
558,selfplay,300,AI 2,3
559,selfplay,300,AI 2,2
560,selfplay,300,AI 4,3
561,selfplay,300,AI 4,2
562,selfplay,300,AI 3,0
563,selfplay,300,AI 3,3
564,selfplay,300,AI 2,1
565,selfplay,300,AI 2,0
566,selfplay,300,AI 4,1
567,selfplay,300,AI 3,3
568,selfplay,300,AI 3,2
569,selfplay,300,AI 2,0
570,selfplay,300,AI 4,1
571,selfplay,300,AI 3,3
572,selfplay,300,AI 3,2
573,selfplay,300,AI 4,2
574,selfplay,300,AI 2,3
575,selfplay,300,AI 1,1
576,selfplay,300,AI 2,1
577,selfplay,300,AI 1,3
578,selfplay,300,AI 4,1
579,selfplay,300,AI 3,3
580,selfplay,300,AI 3,2
581,selfplay,300,AI 3,1
